"title","description","tags","category"
"Fix email template issue","Notification emails display broken formatting","email,frontend,bug","WORK"
"Setup staging environment","Create isolated environment for QA testing","devops,staging","WORK"
"Broken search functionality","Search API returns incomplete results","search,backend,bug","WORK"
"Refactor notification service","Cleanup duplicated logic in notifications","backend,refactor","WORK"
"Add pagination support","API should support paginated responses","api,feature","WORK"
"High error rate in logs","Production logs contain many 500 errors","backend,urgent,production","WORK"
"Prepare release notes","Need changelog for deployment","release,documentation","WORK"
"Resolve merge conflicts","Feature branch conflicts with main branch","git,development","WORK"
"Fix mobile responsiveness","Dashboard layout breaks on phones","frontend,mobile,ui","WORK"
"Improve caching strategy","Reduce repeated database queries","cache,performance","WORK"
"Investigate failed payments","Some users report duplicate charges","payment,critical,backend","WORK"
"Update API documentation","Add examples for new endpoints","api,docs","WORK"
"Clean old log files","Disk usage is growing too fast","maintenance,server","WORK"
"Customer cannot upload files","Upload endpoint fails for large documents","upload,backend,bug","WORK"
"Review access logs","Suspicious login attempts detected","security,incident","WORK"
"Fix websocket disconnects","Realtime updates stop randomly","websocket,backend,bug","WORK"
"Implement dark mode","Users requested dark theme support","frontend,feature","WORK"
"Rezolva problema cu sesiunea","Utilizatorii sunt delogati prea rapid","backend,auth,bug","WORK"
"Latenta critica API","Timpul de raspuns a crescut foarte mult","api,performanta,urgent","WORK"
"Investigheaza deploy esuat","Pipeline-ul de deploy s-a oprit in timpul release-ului","deploy,ci-cd,critic","WORK"
"Pregateste raportul lunar","Genereaza sumar KPI pentru management","raport,analytics","WORK"
"Instabilitate conexiune baza de date","PostgreSQL pierde conexiunea aleatoriu","database,backend,incident","WORK"
"Actualizeaza permisiunile utilizatorilor","Configureaza roluri pentru noii colegi","security,permissions","WORK"
"Rezolva fluxul de inregistrare","Utilizatorii noi nu isi pot crea cont","frontend,backend,bug","WORK"
"Alerta in productie","Monitorizarea a detectat CPU ridicat","monitorizare,productie,urgent","WORK"
"Implementeaza audit logging","Salveaza actiunile sensibile in sistem","security,logging","WORK"
"Escalare de la client","Clientul enterprise a raportat inconsistente de date","client,urgent,support","WORK"
"Optimizeaza incarcarea imaginilor","Imaginile mari incetinesc dashboard-ul","frontend,performanta","WORK"
"Serverul necesita restart","Consum de memorie prea mare","server,infrastructura,urgent","WORK"
"Verifica vulnerabilitatile","Dependintele contin CVE-uri critice","security,dependencies,critic","WORK"
"Rezolva template-ul de email","Emailurile au formatting defect","email,frontend,bug","WORK"
"Configureaza mediul de staging","Creeaza mediu separat pentru QA","devops,staging","WORK"
"Functionalitatea search nu merge","API-ul returneaza rezultate incomplete","search,backend,bug","WORK"
"Refactorizeaza serviciul de notificari","Elimina codul duplicat","backend,refactorizare","WORK"
"Adauga suport pentru paginare","API-ul trebuie sa suporte paginare","api,feature","WORK"
"Rata mare de erori","Logurile contin multe erori 500","backend,urgent,productie","WORK"
"Pregateste release notes","Este nevoie de changelog pentru deploy","release,documentatie","WORK"
"Rezolva conflictele de merge","Branch-ul are conflicte cu main","git,development","WORK"
"Rezolva responsive-ul pe mobil","Dashboard-ul se strica pe telefon","frontend,mobile,ui","WORK"
"Imbunatateste strategia de cache","Reduce query-urile repetitive","cache,performanta","WORK"
"Investigheaza platile esuate","Unii utilizatori raporteaza taxe duplicate","payment,critic,backend","WORK"
"Actualizeaza documentatia API","Adauga exemple pentru endpoint-uri noi","api,docs","WORK"
"Sterge logurile vechi","Spatiul pe disk creste prea repede","maintenance,server","WORK"
"Clientul nu poate incarca fisiere","Upload-ul esueaza pentru documente mari","upload,backend,bug","WORK"
"Verifica logurile de acces","Au fost detectate login-uri suspecte","security,incident","WORK"
"Rezolva deconectarile websocket","Update-urile realtime se opresc aleatoriu","websocket,backend,bug","WORK"
"Implementeaza dark mode","Utilizatorii au cerut tema dark","frontend,feature","WORK"
"Buy bread for breakfast","Running out of bread at home","food,home","SHOPPING"
"Purchase bottled water","Need water supply for the apartment","shopping,water","SHOPPING"
"Restock household essentials","Need more toilet paper and paper towels","home,essentials","SHOPPING"
"Need more laundry detergent","Almost out of detergent","cleaning,home","SHOPPING"
"Kitchen dish soap is empty","Need dishwashing liquid","cleaning,kitchen","SHOPPING"
"Buy trash bags","Need garbage bags for kitchen","home,cleaning","SHOPPING"
"Need paper towels","Kitchen supplies are low","home,kitchen","SHOPPING"
"Get groceries for the week","Need rice and pasta","food,groceries","SHOPPING"
"Purchase cooking oil","Olive oil is almost empty","food,cooking","SHOPPING"
"Coffee supply is low","Need more coffee beans","coffee,food","SHOPPING"
"Buy eggs for breakfast","Egg carton is almost empty","food,groceries","SHOPPING"
"Milk is almost finished","Need milk for coffee and cereal","food,home","SHOPPING"
"Purchase cheese for sandwiches","Running low on cheese","food,dairy","SHOPPING"
"Breakfast cereal is finished","Need cereal for mornings","food,breakfast","SHOPPING"
"Need chicken for meal prep","Preparing meals for the week","food,groceries","SHOPPING"
"Restock vegetables","Need tomatoes, onions and peppers","food,healthy","SHOPPING"
"Buy fresh fruits","Need apples and bananas","food,groceries","SHOPPING"
"Get frozen food for dinner","Need quick meal options","food,frozen","SHOPPING"
"Purchase snacks for weekend","Need chips and crackers","food,snacks","SHOPPING"
"Need drinks for guests","Buy soda and juice","drinks,shopping","SHOPPING"
"Running out of shampoo","Need bathroom essentials","bathroom,home","SHOPPING"
"Purchase toothpaste","Need toothpaste for bathroom","bathroom,essentials","SHOPPING"
"Need hand soap refill","Soap dispenser is empty","bathroom,cleaning","SHOPPING"
"Restock kitchen cleaning supplies","Need sponges and cleaning cloths","cleaning,kitchen","SHOPPING"
"Buy aluminum foil","For cooking and baking","kitchen,cooking","SHOPPING"
"Need baking supplies","Running low on baking paper","kitchen,baking","SHOPPING"
"Purchase replacement batteries","Remote batteries are dead","electronics,home","SHOPPING"
"Replace old light bulbs","Need new bulbs for living room","home,lighting","SHOPPING"
"Need extra power outlets","Get extension cord for desk","electronics,home","SHOPPING"
"Purchase storage boxes","Need better organization","storage,home","SHOPPING"
"Need new bedsheets","Current sheets are worn out","home,bedroom","SHOPPING"
"Buy extra pillows","Need more comfort for bedroom","home,bedroom","SHOPPING"
"Bathroom towels are old","Need replacement towels","bathroom,home","SHOPPING"
"Purchase indoor slippers","Looking for comfortable slippers","clothes,home","SHOPPING"
"Restock socks","Need more socks for daily use","clothes,shopping","SHOPPING"
"Need casual t-shirts","Looking for comfortable clothes","clothes,fashion","SHOPPING"
"Buy new jeans","Current jeans are worn out","clothes,fashion","SHOPPING"
"Replace old sneakers","Need comfortable everyday shoes","fashion,shoes","SHOPPING"
"Purchase backpack for travel","Looking for travel backpack","bags,travel","SHOPPING"
"Running out of notebooks","Need notebooks for meetings","office,school","SHOPPING"
"Need more pens","Desk supplies are low","office,stationery","SHOPPING"
"Buy printer paper","Need paper for printing","office,printer","SHOPPING"
"Need replacement charger","Current charger stopped working","electronics,phone","SHOPPING"
"Purchase USB cable","Need new charging cable","electronics,accessories","SHOPPING"
"Need larger mouse pad","Desk setup feels cramped","office,desk","SHOPPING"
"Buy monitor cleaning supplies","Need spray and microfiber cloth","electronics,cleaning","SHOPPING"
"Need air freshener","Living room needs fresh scent","home,cleaning","SHOPPING"
"Purchase scented candles","Need candles for home decor","home,decor","SHOPPING"
"Get groceries for weekend","Need snacks and drinks","food,shopping","SHOPPING"
"Buy kitchen utensils","Looking for new pans and knives","kitchen,home","SHOPPING"
"Buy water","Need water for home","water,shopping","SHOPPING"
"Need more coffee","Coffee supply is running low","coffee,food","SHOPPING"
"Get new light bulbs","The living room bulbs need replacement","home,lighting","SHOPPING"
"Need more detergent","Laundry detergent is almost finished","cleaning,home","SHOPPING"
"Buy milk","Milk for coffee is finished","food,home","SHOPPING"
"Get bread","No more bread for breakfast","food,breakfast","SHOPPING"
"Buy eggs","Egg carton is almost empty","food,groceries","SHOPPING"
"Need more toilet paper","Bathroom supplies are running low","bathroom,essentials","SHOPPING"
"Get trash bags","Kitchen garbage bags are finished","home,cleaning","SHOPPING"
"Buy juice","Need drinks for the weekend","drinks,shopping","SHOPPING"
"Need more shampoo","Shampoo bottle is almost empty","bathroom,home","SHOPPING"
"Get toothpaste","Toothpaste is running out","bathroom,essentials","SHOPPING"
"Buy fruits","Need apples and bananas","food,healthy","SHOPPING"
"Need more dish soap","Dishwashing liquid is finished","cleaning,kitchen","SHOPPING"
"Get snacks","Weekend supplies","food,shopping","SHOPPING"
"Cumpara paine pentru micul dejun","Painea este pe terminate acasa","mancare,casa","SHOPPING"
"Cumpara apa imbuteliata","Este nevoie de apa pentru apartament","cumparaturi,apa","SHOPPING"
"Reaprovizioneaza produsele esentiale","Este nevoie de hartie igienica si prosoape de hartie","casa,esentiale","SHOPPING"
"Mai este putin detergent de rufe","Detergentul este aproape terminat","curatenie,casa","SHOPPING"
"Sapunul de vase este gol","Este nevoie de detergent de vase","curatenie,bucatarie","SHOPPING"
"Cumpara saci de gunoi","Este nevoie de saci pentru bucatarie","casa,curatenie","SHOPPING"
"Mai sunt putine prosoape de hartie","Stocul din bucatarie este scazut","casa,bucatarie","SHOPPING"
"Cumpara alimente pentru saptamana","Este nevoie de orez si paste","mancare,cumparaturi","SHOPPING"
"Cumpara ulei pentru gatit","Uleiul de masline este aproape terminat","mancare,gatit","SHOPPING"
"Stocul de cafea este mic","Este nevoie de boabe de cafea","cafea,mancare","SHOPPING"
"Cumpara oua pentru micul dejun","Cutia de oua este aproape goala","mancare,cumparaturi","SHOPPING"
"Laptele este aproape terminat","Este nevoie de lapte pentru cafea si cereale","mancare,casa","SHOPPING"
"Cumpara branza pentru sandvisuri","Stocul de branza este scazut","mancare,lactate","SHOPPING"
"Cerealele pentru micul dejun s-au terminat","Este nevoie de cereale pentru dimineti","mancare,micdejun","SHOPPING"
"Cumpara carne de pui pentru meal prep","Pregatirea meselor pentru saptamana","mancare,cumparaturi","SHOPPING"
"Reaprovizioneaza legumele","Este nevoie de rosii, ceapa si ardei","mancare,sanatos","SHOPPING"
"Cumpara fructe proaspete","Este nevoie de mere si banane","mancare,cumparaturi","SHOPPING"
"Cumpara mancare congelata pentru cina","Este nevoie de optiuni rapide pentru masa","mancare,congelate","SHOPPING"
"Cumpara gustari pentru weekend","Este nevoie de chipsuri si biscuiti sarati","mancare,gustari","SHOPPING"
"Cumpara bauturi pentru musafiri","Cumpara suc si bauturi carbogazoase","bauturi,cumparaturi","SHOPPING"
"Samponul este pe terminate","Este nevoie de produse pentru baie","baie,casa","SHOPPING"
"Cumpara pasta de dinti","Este nevoie de pasta de dinti pentru baie","baie,esentiale","SHOPPING"
"Este nevoie de rezerva de sapun lichid","Dozatorul de sapun este gol","baie,curatenie","SHOPPING"
"Reaprovizioneaza produsele de curatenie pentru bucatarie","Este nevoie de bureti si lavete","curatenie,bucatarie","SHOPPING"
"Cumpara folie de aluminiu","Pentru gatit si copt","bucatarie,gatit","SHOPPING"
"Cumpara produse pentru copt","Hartia de copt este aproape terminata","bucatarie,copt","SHOPPING"
"Cumpara baterii de schimb","Bateriile telecomenzii sunt descarcate","electronice,casa","SHOPPING"
"Inlocuieste becurile vechi","Este nevoie de becuri noi pentru living","casa,iluminat","SHOPPING"
"Cumpara prize suplimentare","Este nevoie de prelungitor pentru birou","electronice,casa","SHOPPING"
"Cumpara cutii pentru depozitare","Este nevoie de mai buna organizare","depozitare,casa","SHOPPING"
"Cumpara lenjerii noi de pat","Lenjeriile actuale sunt uzate","casa,dormitor","SHOPPING"
"Cumpara perne suplimentare","Este nevoie de mai mult confort in dormitor","casa,dormitor","SHOPPING"
"Prosoapele din baie sunt vechi","Este nevoie de prosoape noi","baie,casa","SHOPPING"
"Cumpara papuci de casa","Caut papuci confortabili","haine,casa","SHOPPING"
"Reaprovizioneaza sosetele","Este nevoie de mai multe sosete","haine,cumparaturi","SHOPPING"
"Cumpara tricouri casual","Caut haine confortabile","haine,moda","SHOPPING"
"Cumpara blugi noi","Blugii actuali sunt uzati","haine,moda","SHOPPING"
"Inlocuieste adidasii vechi","Este nevoie de incaltaminte confortabila","moda,pantofi","SHOPPING"
"Cumpara rucsac pentru calatorii","Caut un rucsac pentru travel","genti,calatorii","SHOPPING"
"Mai sunt putine caiete","Este nevoie de caiete pentru meetinguri","birou,scoala","SHOPPING"
"Este nevoie de mai multe pixuri","Stocul de pe birou este scazut","birou,papetarie","SHOPPING"
"Cumpara hartie pentru imprimanta","Este nevoie de hartie pentru printare","birou,imprimanta","SHOPPING"
"Este nevoie de un incarcator nou","Incarcatorul actual nu mai functioneaza","electronice,telefon","SHOPPING"
"Cumpara cablu USB","Este nevoie de un nou cablu de incarcare","electronice,accesorii","SHOPPING"
"Este nevoie de un mouse pad mai mare","Setup-ul biroului este prea inghesuit","birou,desk","SHOPPING"
"Cumpara produse pentru curatarea monitorului","Este nevoie de spray si laveta microfiber","electronice,curatenie","SHOPPING"
"Cumpara odorizant de camera","Livingul are nevoie de un miros placut","casa,curatenie","SHOPPING"
"Cumpara lumanari parfumate","Este nevoie de lumanari pentru decor","casa,decor","SHOPPING"
"Cumpara alimente pentru weekend","Este nevoie de gustari si bauturi","mancare,cumparaturi","SHOPPING"
"Cumpara ustensile de bucatarie","Caut tigai si cutite noi","bucatarie,casa","SHOPPING"
"Cumpara apa","Este nevoie de apa pentru acasa","apa,cumparaturi","SHOPPING"
"Mai trebuie cafea","Cafeaua s-a terminat","cafea,cumparaturi","SHOPPING"
"Ia becuri noi","Becurile din living trebuie inlocuite","casa,iluminat","SHOPPING"
"Mai trebuie detergent","Detergentul de rufe este aproape terminat","curatenie,casa","SHOPPING"
"Cumpara lapte","Laptele pentru cafea s-a terminat","mancare,casa","SHOPPING"
"Ia paine","Nu mai este paine pentru micul dejun","mancare,micdejun","SHOPPING"
"Cumpara oua","Cutia de oua este aproape goala","mancare,cumparaturi","SHOPPING"
"Mai trebuie hartie igienica","Stocul din baie este scazut","baie,esentiale","SHOPPING"
"Ia saci de gunoi","S-au terminat sacii pentru bucatarie","casa,curatenie","SHOPPING"
"Cumpara suc","Este nevoie de bauturi pentru weekend","bauturi,cumparaturi","SHOPPING"
"Mai trebuie sampon","Samponul este aproape gol","baie,casa","SHOPPING"
"Ia pasta de dinti","Pasta de dinti este pe terminate","baie,esentiale","SHOPPING"
"Cumpara fructe","Este nevoie de mere si banane","mancare,sanatos","SHOPPING"
"Mai trebuie detergent de vase","Sapunul de vase s-a terminat","curatenie,bucatarie","SHOPPING"
"Ia gustari","Este nevoie de chipsuri pentru weekend","mancare,gustari","SHOPPING"
"Need to sleep earlier","Sleeping too late every night","sleep,habits","HEALTH"
"Back hurts after sitting too much","Need more stretching during work","health,stretching","HEALTH"
"Feeling stressed lately","Need better stress management","mental-health,stress","HEALTH"
"Need better eating habits","Eating too much fast food lately","nutrition,diet","HEALTH"
"Been getting headaches often","Need to rest eyes more","health,symptoms","HEALTH"
"Need more exercise","Not moving enough during the week","fitness,health","HEALTH"
"Feeling tired all the time","Need better sleep and recovery","sleep,energy","HEALTH"
"Should drink more water","Not hydrating enough during work","hydration,wellness","HEALTH"
"Trying to eat healthier","Reduce junk food and sugar","nutrition,health","HEALTH"
"Need to move more","Been sitting too much lately","fitness,health","HEALTH"
"Feeling anxious recently","Need time to relax","mental-health,anxiety","HEALTH"
"Need a break from screens","Eyes feel strained after work","wellness,screen-time","HEALTH"
"Trying to improve posture","Back and shoulders feel stiff","health,posture","HEALTH"
"Need to stop sleeping so late","Current sleep schedule is unhealthy","sleep,habits","HEALTH"
"Energy levels are low","Need healthier daily routine","wellness,energy","HEALTH"
"Take vitamins","Daily supplements","vitamins,health","HEALTH"
"Go running","Need exercise","fitness,health","HEALTH"
"Drink water","Hydration reminder","hydration,health","HEALTH"
"Book dentist","Routine dental cleaning appointment","dentist,health","HEALTH"
"Do stretching","Reduce muscle stiffness","stretching,health","HEALTH"
"Go to the gym","Strength training session","fitness,gym","HEALTH"
"Sleep earlier","Improve sleep schedule","sleep,habits","HEALTH"
"Eat healthier","Reduce junk food consumption","nutrition,diet","HEALTH"
"Take allergy medicine","Pollen allergies are getting worse","allergy,medicine","HEALTH"
"Go for a walk","Increase daily activity","fitness,walking","HEALTH"
"Book eye exam","Need updated vision check","health,vision","HEALTH"
"Prepare healthy meals","Meal prep for the week","nutrition,mealprep","HEALTH"
"Do yoga","Improve flexibility and posture","fitness,yoga","HEALTH"
"Check blood pressure","Monitor health metrics","health,monitoring","HEALTH"
"Take a break from screens","Reduce eye strain","wellness,screen-time","HEALTH"
"Annual health checkup","Need routine medical examination","doctor,health,appointment","HEALTH"
"Evening medication reminder","Remember prescribed pills tonight","medicine,health","HEALTH"
"Dental cleaning visit","Routine dentist appointment","dentist,health","HEALTH"
"Improve daily hydration","Drink more water during the day","health,wellness","HEALTH"
"Morning cardio session","Go for a short run before work","fitness,cardio","HEALTH"
"Post-work stretching","Reduce stiffness from sitting all day","health,stretching","HEALTH"
"Better sleep routine","Try sleeping at least 8 hours","sleep,wellness","HEALTH"
"Calorie tracking","Monitor nutrition and meals","nutrition,diet","HEALTH"
"Healthy meal prep","Prepare meals for the week","food,mealprep","HEALTH"
"Weekly meal prep","Cook balanced meals in advance","nutrition,meal prep","HEALTH"
"Vision check reminder","Need updated eye examination","health,vision","HEALTH"
"Morning vitamins","Do not forget daily supplements","vitamins,wellness","HEALTH"
"Low on vitamins","Need more supplements at home","vitamins,health","HEALTH"
"Strength training workout","Gym session after work","fitness,gym","HEALTH"
"Meditation session","Reduce stress and anxiety","mental-health,relaxation","HEALTH"
"Daily step goal","Reach 10000 steps today","fitness,walking","HEALTH"
"Weekly therapy appointment","Mental health support session","therapy,mental-health","HEALTH"
"Breathing exercise practice","Improve relaxation and focus","wellness,breathing","HEALTH"
"Reduce screen exposure","Avoid eye strain before bed","wellness,habits","HEALTH"
"Balanced breakfast ideas","Prepare healthier morning meals","nutrition,food","HEALTH"
"Blood pressure monitoring","Track daily health metrics","health,monitoring","HEALTH"
"Trebuie sa dorm mai devreme","Adorm prea tarziu in fiecare noapte","somn,obiceiuri","HEALTH"
"Ma doare spatele dupa prea mult stat jos","Am nevoie de mai multe exercitii de stretching la munca","sanatate,stretching","HEALTH"
"Ma simt stresat in ultima vreme","Am nevoie de un management mai bun al stresului","sanatate-mentala,stres","HEALTH"
"Am nevoie de obiceiuri alimentare mai bune","Mananc prea mult fast food in ultima vreme","nutritie,dieta","HEALTH"
"Am dureri de cap des","Trebuie sa imi odihnesc ochii mai mult","sanatate,simptome","HEALTH"
"Trebuie sa fac mai multa miscare","Nu ma misc suficient in timpul saptamanii","fitness,sanatate","HEALTH"
"Ma simt obosit tot timpul","Am nevoie de somn si recuperare mai buna","somn,energie","HEALTH"
"Ar trebui sa beau mai multa apa","Nu ma hidratez suficient la munca","hidratare,wellness","HEALTH"
"Incerc sa mananc mai sanatos","Reduc mancarea junk food si zaharul","nutritie,sanatate","HEALTH"
"Trebuie sa ma misc mai mult","Am stat prea mult jos recent","fitness,sanatate","HEALTH"
"Ma simt anxios recent","Am nevoie de timp pentru relaxare","sanatate-mentala,anxietate","HEALTH"
"Am nevoie de o pauza de la ecrane","Ochii sunt obositi dupa munca","wellness,timp-ecran","HEALTH"
"Incerc sa imi imbunatatesc postura","Spatele si umerii sunt intepeniti","sanatate,postura","HEALTH"
"Trebuie sa nu mai dorm atat de tarziu","Programul actual de somn este nesanatos","somn,obiceiuri","HEALTH"
"Nivelul de energie este scazut","Am nevoie de o rutina zilnica mai sanatoasa","wellness,energie","HEALTH"
"Ia vitamine","Suplimente zilnice","vitamine,sanatate","HEALTH"
"Iesi la alergat","Este nevoie de miscare","fitness,sanatate","HEALTH"
"Bea apa","Reminder pentru hidratare","hidratare,sanatate","HEALTH"
"Programeaza dentistul","Programare pentru curatare dentara","dentist,sanatate","HEALTH"
"Fa stretching","Reduce rigiditatea musculara","stretching,sanatate","HEALTH"
"Mergi la sala","Sesiune de antrenament cu greutati","fitness,sala","HEALTH"
"Dormi mai devreme","Imbunatateste programul de somn","somn,obiceiuri","HEALTH"
"Mananca mai sanatos","Reduce consumul de junk food","nutritie,dieta","HEALTH"
"Ia medicamente pentru alergie","Alergiile la polen devin mai rele","alergie,medicamente","HEALTH"
"Iesi la plimbare","Creste nivelul de activitate","fitness,sanatate","HEALTH"
"Programeaza control oftalmologic","Este nevoie de verificarea vederii","sanatate,vedere","HEALTH"
"Pregateste mese sanatoase","Meal prep pentru saptamana","nutritie,mealprep","HEALTH"
"Fa yoga","Imbunatateste flexibilitatea si postura","fitness,yoga","HEALTH"
"Verifica tensiunea arteriala","Monitorizeaza valorile de sanatate","sanatate,monitorizare","HEALTH"
"Ia o pauza de la ecrane","Reduce oboseala ochilor","wellness,timp-ecran","HEALTH"
"Control medical anual","Este nevoie de consult medical de rutina","doctor,sanatate,programare","HEALTH"
"Reminder pentru medicamente seara","Nu uita pastilele prescrise in seara aceasta","medicamente,sanatate","HEALTH"
"Vizita pentru curatare dentara","Programare de rutina la dentist","dentist,sanatate","HEALTH"
"Imbunatateste hidratarea zilnica","Bea mai multa apa pe parcursul zilei","sanatate,wellness","HEALTH"
"Sesiune cardio dimineata","Iesi la alergat inainte de munca","fitness,cardio","HEALTH"
"Stretching dupa munca","Reduce rigiditatea dupa stat jos toata ziua","sanatate,stretching","HEALTH"
"Rutina de somn mai buna","Incearca sa dormi cel putin 8 ore","somn,wellness","HEALTH"
"Monitorizarea caloriilor","Urmareste nutritia si mesele","nutritie,dieta","HEALTH"
"Meal prep sanatos","Pregateste mesele pentru saptamana","mancare,mealprep","HEALTH"
"Meal prep saptamanal","Gateste mese echilibrate in avans","nutritie,mealprep","HEALTH"
"Reminder pentru control oftalmologic","Este nevoie de verificarea vederii","sanatate,vedere","HEALTH"
"Vitamine dimineata","Nu uita suplimentele zilnice","vitamine,wellness","HEALTH"
"Mai sunt putine vitamine","Este nevoie de mai multe suplimente acasa","vitamine,sanatate","HEALTH"
"Antrenament cu greutati","Sesiune la sala dupa munca","fitness,sala","HEALTH"
"Sesiune de meditatie","Reduce stresul si anxietatea","sanatate-mentala,relaxare","HEALTH"
"Obiectiv zilnic de pasi","Atinge 10000 de pasi astazi","fitness,plimbare","HEALTH"
"Programare saptamanala la terapie","Sesiune pentru sanatatea mentala","terapie,sanatate-mentala","HEALTH"
"Exercitii de respiratie","Imbunatateste relaxarea si concentrarea","wellness,respiratie","HEALTH"
"Reduce expunerea la ecrane","Evita oboseala ochilor inainte de somn","wellness,obiceiuri","HEALTH"
"Idei pentru mic dejun echilibrat","Pregateste mese mai sanatoase dimineata","nutritie,mancare","HEALTH"
"Monitorizarea tensiunii arteriale","Urmareste zilnic valorile de sanatate","sanatate,monitorizare","HEALTH"
"Electricity bill due soon","Monthly invoice needs to be paid","bills,electricity","FINANCE"
"Bank account feels low","Need to monitor spending more carefully","banking,money","FINANCE"
"Move money into savings","Set aside part of this month's salary","savings,banking","FINANCE"
"Monthly expenses look high","Need to reduce unnecessary purchases","budget,expenses","FINANCE"
"Internet subscription expires soon","Avoid service interruption","bills,internet","FINANCE"
"Daily spending is increasing","Too many small purchases lately","budget,tracking","FINANCE"
"Create budget for next month","Plan expenses ahead of time","budget,planning","FINANCE"
"Apartment rent reminder","Monthly housing payment is approaching","rent,housing","FINANCE"
"Unexpected credit card charges","Need to verify recent transactions","credit-card,banking","FINANCE"
"Vacation savings progress","Set aside more money for travel","savings,travel","FINANCE"
"Too many active subscriptions","Need to cancel unused services","subscriptions,budget","FINANCE"
"Mobile plan payment reminder","Phone bill deadline is close","bills,phone","FINANCE"
